uid,title,url,difficulty,duration,highest_altitude,suitable_for,basecamp,faq_count,quick_itinerary_days,day_wise_days,similar_trek_count,last_publication_date
ali-bedni-bugyal-trek,Ali Bedni Bugyal Trek,https://indiahikes.com/ali-bedni-bugyal-trek,Easy-Moderate,6 days / 27.2 kms,"12,550 ft",8 years and above,"Lohajung, Uttarakhand",18,6,6,0,2026-06-16T04:59:37+0000
atsunta-pass-trek-omalo-shatili-georgia,Georgia Atsunta Pass Trek,https://indiahikes.com/atsunta-pass-trek-omalo-shatili-georgia,Moderate - Difficult,7 Days,"11,581 ft",12 to 62 years,Omalo,10,7,7,0,2026-06-08T05:55:40+0000
bali-pass-ruinsara-tal,Bali Pass Trek,https://indiahikes.com/bali-pass-ruinsara-tal,,9 days / 55 km,"16,207 ft",15 to 55 years,"Kotgaon, Uttarakhand",10,9,8,0,2026-06-16T05:07:14+0000
beas-kund,Beas Kund Trek,https://indiahikes.com/beas-kund,Moderate,4 days/14.5 km,"12,772 ft",11 years and above,"Palchan, Himachal Pradesh",9,4,4,0,2026-06-16T05:15:11+0000
bhrigu-lake,Bhrigu Lake Trek,https://indiahikes.com/bhrigu-lake,Moderate,4 days/21.5 km,"14,009 ft",11 years and above,"Palchan, Beas Bridge, Manali",9,4,4,0,2026-06-16T05:22:13+0000
bijli-mahadev-trek,Bijli Mahadev Trek,https://indiahikes.com/bijli-mahadev-trek,Easy,2 days/10 km,8120 ft,,Manali (Sarsai),10,2,2,0,2026-06-06T06:28:16+0000
bodpathri-trek,Bodpathri Trek,https://indiahikes.com/bodpathri-trek,Moderate-Difficult,7 days,"13,060 ft",12 to 62 years,Doodhpathri,10,7,7,0,2026-06-06T06:28:22+0000
brahmatal-trek,Brahmatal Trek,https://indiahikes.com/brahmatal-trek,Easy Moderate,6 days / 22 km,"12,250 ft",8 years and above,"Lohajung, Uttarakhand",14,6,6,0,2026-06-16T05:25:12+0000
brammah-valley-trek,Brammah Valley Trek,https://indiahikes.com/brammah-valley-trek,Moderate,7 days / 48.5 km,"11,600 ft",11 - 62 years,Sounder,5,7,7,0,2026-06-06T06:28:18+0000
buran-ghati,Buran Ghati Trek,https://indiahikes.com/buran-ghati,Moderate-Difficult,8 days/40.5 km,"15,000 ft",12 to 62 years,"Janglik, Himachal Pradesh",14,8,8,0,2026-06-16T05:26:57+0000
chandrabhaga-glaciers-trek,Chandrabhaga Glaciers Trek,https://indiahikes.com/chandrabhaga-glaciers-trek,Moderate-Difficult,7 days / 32 km,"17,200 ft",14 to 62 years,"Indiahikes Jungle Line Campus, Manali, Himachal Pradesh",7,7,7,0,2026-06-16T05:29:28+0000
chandrakhani-pass-trek,Chandrakhani Pass Trek,https://indiahikes.com/chandrakhani-pass-trek,Easy-Moderate,5 days/26 km,"12,185 ft",8 years and above,"Manali (Indiahikes Jungle Line Campus), Himachal Pradesh",7,5,5,0,2026-06-16T05:31:52+0000
channarayana-durga-weekend-trek,Channarayana Durga Weekend Trek,https://indiahikes.com/channarayana-durga-weekend-trek,Easy,2 days,,7 years and above,,15,2,2,0,2026-03-18T10:08:30+0000
chhattisgarh-jungle-trek-guru-ghasi-das-national-park,Chhattisgarh Jungle Trek,https://indiahikes.com/chhattisgarh-jungle-trek-guru-ghasi-das-national-park,Easy,4 days / 23 km,,7 years and above,Turripani,13,4,4,0,2026-06-16T05:33:05+0000
dayara-bugyal-trek,Dayara Bugyal Trek,https://indiahikes.com/dayara-bugyal-trek,Easy Moderate,6 days / 21 kms,"11,830 ft",8 years and above,"Raithal, Uttarakhand",22,6,6,0,2026-06-16T05:08:21+0000
deoriatal-chandrashila-trek,Deoriatal Chandrashila Trek,https://indiahikes.com/deoriatal-chandrashila-peak,Moderate,6 days / 32 km,"12,083 ft",11 years and above,"Sari, Uttarakhand",15,6,6,0,2026-06-16T05:23:56+0000
deoriatal-chandrashila-trek,Deoriatal Chandrashila Trek,https://indiahikes.com/deoriatal-chandrashila-trek,Moderate,6 days / 32 km,"12,083 ft",11 years and above,"Sari, Uttarakhand",15,6,6,0,2026-06-16T05:23:56+0000
everest-base-camp-trek-nepal,Everest Base Camp (Classic Route),https://indiahikes.com/everest-base-camp-trek-nepal,Difficult,15 Days,"18,200",15 to 55 years,,7,15,15,0,2026-05-08T10:28:37+0000
gaumukh-tapovan,Gaumukh Tapovan Trek,https://indiahikes.com/gaumukh-tapovan,Moderate-Difficult,8 days / 41 km,"14,203 ft",12 to 62 years,"Gangotri, Uttarakhand",15,8,8,0,2026-06-16T05:27:55+0000
goechala,Goechala Trek,https://indiahikes.com/goechala,Difficult,10 days / 73 kms,"15,100 ft",15 years and above,"Yuksom, Sikkim",11,10,10,0,2026-06-16T05:34:34+0000
gurez-valley-trek,Gurez Valley Trek,https://indiahikes.com/gurez-valley-trek,Moderate,7 days/37.6 km,"13,188 ft",11 to 62 years,Dawar,9,7,7,0,2026-06-15T05:34:20+0000
hampta-pass,Hampta Pass Trek,https://indiahikes.com/hampta-pass,Moderate,6 days/26 km,"14,065 ft",11 years and above,"Manali (Indiahikes Jungle Line Campus), Himachal Pradesh",12,6,6,0,2026-06-09T11:17:20+0000
har-ki-dun,Har Ki Dun,https://indiahikes.com/har-ki-dun,Moderate,7 days / 37 km,"11,600 ft",11 years and above,"Kotgaon, Uttarakhand",9,7,7,0,2026-06-16T05:45:29+0000
kanamo-peak-trek,Kanamo Peak Trek,https://indiahikes.com/kanamo-peak-trek,Difficult,7 days / 22 km,"19,553 ft",15 to 55 years,"Indiahikes Jungle Line Campus, Manali, Himachal Pradesh",5,7,7,0,2026-06-16T05:40:39+0000
kashmir-great-lakes,Kashmir Great Lakes Trek,https://indiahikes.com/kashmir-great-lakes,Moderate-Difficult,8 days/74.6 km,"13,715 ft",12-62 years,Gagangir,12,8,8,0,2026-06-15T05:31:29+0000
kedarkantha-trek,Kedarkantha Trek,https://indiahikes.com/kedarkantha-trek,Easy Moderate,6 days / 23 km,"12,500 feet",8 years and above,"Kotgaon/Gaichawan Gaon, Uttarakhand",9,6,6,0,2026-06-16T05:51:20+0000
kedartal,Kedartal Trek,https://indiahikes.com/kedartal,Difficult,7 days / 22.4 km,"16,000 ft",15 years and above,"Gangotri, Uttarakhand",11,7,7,0,2026-06-16T05:54:37+0000
khopra-ridge-khayar-lake,Khopra Ridge Trek,https://indiahikes.com/khopra-ridge-khayar-lake,Moderate - Difficult,9 days,"15,300 ft",12 to 62 years,Pokhara,5,9,9,0,2026-05-28T13:49:45+0000
kuari-pass,Kuari Pass Trek,https://indiahikes.com/kuari-pass,Moderate,6 days / 22 km,"12,516 ft",11 years and above,"Karchi / Dhak, Uttarakhand",15,6,6,0,2026-06-16T05:19:35+0000
miyar-valley-trek,Miyar Valley,https://indiahikes.com/miyar-valley-trek,Moderate,7 days/60.2 km,"13,202 ft",14 to 62 years,"Khanjer, Himachal Pradesh",9,7,7,0,2026-06-16T05:52:44+0000
mount-rinjani-trek,Mount Rinjani Trek,https://indiahikes.com/mount-rinjani-trek,Difficult,5 days,"12,224 ft",15 to 55 years,Sembalun,9,6,6,0,2026-05-20T07:08:49+0000
nafran-valley-trek,Nafran Valley Trek,https://indiahikes.com/nafran-valley-trek,Moderate - Difficult,7 days/41 km,"13,789 ft",12 to 62 years,Aru,12,7,7,0,2026-06-15T05:32:38+0000
nag-tibba,Nag Tibba Weekend Trek,https://indiahikes.com/nag-tibba,Moderate,2 days/14.5 km,9915 ft,11 years and above,"Pantwari, Uttarakhand",3,2,2,0,2026-06-06T06:28:18+0000
pangarchulla-peak-trek,Pangarchulla Peak Trek,https://indiahikes.com/pangarchulla,Difficult,7 days / 35 km,"15,069 ft",15 to 55 years,"Karchi, Uttarakhand",9,7,7,0,2026-06-16T05:26:54+0000
pangarchulla-peak-trek,Pangarchulla Peak Trek,https://indiahikes.com/pangarchulla-peak-trek,Difficult,7 days / 35 km,"15,069 ft",15 to 55 years,"Karchi, Uttarakhand",9,7,7,0,2026-06-16T05:26:54+0000
pench-tiger-trail,Pench Tiger Trail,https://indiahikes.com/pench-mowgli-trek,Easy,4 days / 21.4 km,,8 to 62 years,Camp 1903,12,5,5,0,2026-06-16T05:33:06+0000
phulara-ridge-trek,Phulara Ridge Trek,https://indiahikes.com/phulara-ridge-trek,Moderate,6 days / 26 km,"12,345 ft",11 years and above,"Kotgaon, Uttarakhand",10,6,6,0,2026-06-16T05:51:51+0000
pin-bhaba-pass-trek,Pin Bhaba Pass Trek,https://indiahikes.com/pin-bhaba-pass-trek,Difficult,9 days/50 km,"16,105 ft",15 to 55 years,"Yangpa, Himachal Pradesh",9,9,8,0,2026-06-16T05:37:30+0000
pir-panjal-lakes-trek,Pir Panjal Lakes Trek,https://indiahikes.com/pir-panjal-lakes-trek,Moderate-Difficult,7 days/48.3 km,"13,727 ft",12 to 62 years,Chandimarh,9,7,7,0,2026-06-15T05:39:10+0000
ranthan-kharak-trek,Ranthan Kharak Trek,https://indiahikes.com/ranthan-kharak-trek,,7 days / 38 km,"12,887 ft",11 years and above,"Gogina, Uttarakhand",14,7,7,0,2026-06-16T05:50:58+0000
rupin-pass,Rupin Pass,https://indiahikes.com/rupin-pass,Moderate-Difficult,7 days/37 km,"15,279 ft",12 to 62 years,"Jiskun, Himachal Pradesh",7,7,7,0,2026-06-16T05:45:36+0000
sandakphu-phalut,Sandakphu Phalut Trek,https://indiahikes.com/sandakphu-phalut,Moderate,7 days / 68 kms,"11,930 ft",11 years and above,"Sepi, West Bengal",15,7,7,0,2026-06-16T05:48:00+0000
